Material,Predicted_Cost,Predicted_CO2,Combined_Score,Rank
41,0.46412000000000025,0.25379777,0.7179177695465091,1.0
12,0.5730299999999996,0.48658046,1.0596104612636563,2.0
30,0.41565000000000024,0.7594336,1.1750836271286014,3.0
63,0.6286000000000002,0.5883249,1.2169249044418335,4.0
9,0.6073499999999997,0.65246385,1.2598138533592222,5.0
62,0.6481900000000005,0.6521571,1.3003471278572087,6.0
13,0.6982100000000002,0.6114963,1.3097063293075564,7.0
54,0.7489,0.57545215,1.324352148914337,8.0
5,0.6992500000000003,0.6385489,1.3377989106178285,9.0
0,0.7418900000000002,0.6095699,1.3514599071884157,10.0
65,0.4177199999999999,0.9462559,1.3639759223175048,11.0
33,0.7219900000000004,0.67601633,1.3980063307189945,12.0
45,0.4214399999999999,0.999193,1.420633012714386,13.0
16,0.7124200000000006,0.7298943,1.4423142804336555,14.0
